"","X071912QCCKO1","X071912QCCKO2","X071912QCCKO3","X071912QCCTC1","X071912QCCTC2","X071912QCCTC3"
"Label","KO","KO","KO","WT","WT","WT"
"Methylmalonic acid","1.235773","1.196955","1.300255","1.318367","1.315296","1.411469"
"S-adenosyl-L-methionine","0.9282147","0.9713724","0.8285366","1.0234116","0.9635956","1.0667327"
"pantothenate","1.246149","1.292428","1.304290","1.355378","1.354592","1.436134"
"deoxyinosine","-1.831147","-1.643313","-1.543659","-1.547789","-1.696611","-1.615035"
"taurine","1.855979","1.834482","1.882980","1.941514","1.937053","1.980374"
"succinate","1.153858","1.142555","1.269823","1.255697","1.262404","1.337188"
"aspartate","0.9000437","0.9947865","0.9757433","1.0638337","1.0045587","1.0714141"
"hydroxyproline","0.6483558","0.5843921","0.6772638","0.7316529","0.7378109","0.6941625"
"oxaloacetate","0.07778676","0.04528595","0.12919387","0.15057864","0.15065020","0.19408430"
"glutamate","1.951258","1.915763","1.964604","2.012914","1.995234","2.048664"
"cholesteryl sulfate","1.0213269","0.9829478","0.9953628","1.0571095","1.0488713","1.1089237"
"2-hydroxygluterate","-0.036959645","-0.013844020","-0.007373824"," 0.052599874"," 0.033286632"," 0.060162617"
"cystathionine","0.4671903","0.5711389","0.4655997","0.6351028","0.5401408","0.5216543"
"leucine-isoleucine","2.263545","2.251996","2.329948","2.341945","2.343168","2.353314"
"Pyridoxamine","-0.4618196","-0.3173902","-0.5516692","-0.3416767","-0.3118361","-0.4668120"
"aconitate","-0.13247942","-0.14654596","-0.09614444","-0.05022449","-0.09217746","-0.06515494"
"2-Hydroxy-2-methylbutanedioic acid","-8.549868e-02","-1.300043e-01"," 8.148330e-08"," 8.148330e-08","-3.782600e-02","-4.483126e-02"
"Phosphorylcholine","2.512309","2.500158","2.535081","2.538397","2.552181","2.577633"
"p-hydroxybenzoate","0.5754627","0.5894548","0.6027934","0.3809520","0.6790254","0.7618256"
"betaine","2.012185","2.034656","2.065457","2.038925","2.094449","2.093149"
"deoxyguanosine","-1.720761","-1.709515","-1.623534","-1.880631","-1.918132","-1.351753"
"cyclic-AMP","-1.2003256","-1.0931918","-0.9394011","-1.1538448","-1.0297725","-0.9408130"
"N-acetyl-glucosamine","-0.8844967","-0.8697130","-0.8081035","-0.7865056","-0.9550925","-0.7558890"
"isocitrate","-0.8947173","-0.8848102","-0.8207796","-0.7890378","-0.8955199","-0.8427785"
"5-phosphoribosyl-1-pyrophosphate","-1.845652","-2.061246","-1.511503","-1.756954","-1.697717","-1.709947"
"lactate","2.213943","2.187244","2.221306","2.189965","2.234267","2.234343"
"Kynurenine","-0.9374900","-1.0409542","-0.8210208","-0.9626074","-0.9711050","-0.8192988"
"2,3-Diphosphoglyceric acid","-1.625439","-1.701343","-2.018606","-1.849764","-1.681326","-1.625602"
"homocysteine","-0.05161938"," 0.01497913"," 0.01155952","-0.02122335"," 0.04439110","-0.03219972"
"Acetyllysine","1.225319","1.166395","1.128792","1.199799","1.210725","1.126666"
"putrescine","-0.5700579","-1.2366210","-1.0271697","-1.0626435","-1.0741347","-0.5779286"
"S-methyl-5-thioadenosine","1.542516","1.958333","1.264791","1.751388","1.799784","1.339307"
"dTTP-nega","-0.12105743","-0.14113417","-0.17731241","-0.07215941","-0.22730952","-0.06837459"
"DL-Pipecolic acid","2.321664","2.344880","2.389757","2.299499","2.334321","2.366777"
